,Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
62,Gabon,Africa,62.8,66,0.71,15287.0,UM,2.3,0.5,0.1,0.7,0.4,0.3,0.047333569,2.1,0.3,0.9,13.60587343,2.02884706,16.93358961,14.86912834,1.366997922,0.121915159
63,Gambia,Africa,60.2,62,0.5,2266.0,LI,2.6,0.5,0.0,0.1,0.1,0.1,0.008195625,0.9,0.1,0.0,0.067683378,0.2140504,0.453522263,-0.400349892,0.565397606,1.882756866
64,Georgia,Middle East/Central Asia,73.4,72,0.8,15926.0,LM,4.0,0.4,0.2,0.2,1.4,0.4,0.059808108,2.7,0.2,0.4,0.684855551,0.053067582,1.381262506,-1.274215722,1.758344063,1.922500767
65,Germany,EU-27,82.2,81,0.94,54192.0,HI,83.9,0.9,0.2,0.5,2.7,0.1,0.178085032,4.5,0.6,0.1,0.69945463,0.074531266,1.614535735,-2.88414354,2.978832931,2.786360919
66,Ghana,Africa,63.4,64,0.63,5785.0,LM,32.4,0.4,0.1,0.6,0.3,0.2,0.115712303,1.8,0.4,0.2,0.184274182,0.046136535,0.923303742,-0.831974234,1.162269972,1.901084005
67,Greece,EU-27,76.8,80,0.89,30488.0,HI,10.3,1.0,0.4,0.3,1.9,0.1,0.070193199,3.8,1.0,0.1,0.232627086,0.193254918,1.604464539,-2.175733806,2.503085601,2.356049792
70,Guatemala,Central America/Caribbean,61.0,69,0.63,8489.0,LM,18.6,0.4,0.2,0.6,0.5,0.1,0.223395459,1.9,0.3,0.1,0.273859873,0.039997543,0.963671112,-0.930130593,1.253994459,1.965195056
71,Guinea,Africa,51.3,59,0.47,2595.0,LI,13.9,0.4,0.5,0.4,0.1,0.1,0.053672517,1.5,0.3,0.6,0.496427206,0.255151168,1.718858332,0.192929679,1.010404665,0.88775708
74,Haiti,Central America/Caribbean,51.9,63,0.54,2731.0,LI,11.7,0.3,0.0,0.1,0.1,0.0,0.026237388,0.6,0.1,0.0,0.025123594,0.01068696,0.235699613,-0.355312615,0.39134301,2.50748069
76,Hungary,EU-27,79.0,74,0.85,35069.0,HI,9.6,1.1,0.1,0.4,2.1,0.0,0.121567415,3.8,1.7,0.1,0.661675174,0.006552052,2.570671975,-1.217913853,2.508639433,1.473772564
